word,option1,option2,option3,option4,answer
gato,cat,dog,elephant,rabbit,cat
casa,house,tree,river,car,house
amarillo,blue,green,yellow,red,yellow
escuela,beach,library,park,school,school
manzana,banana,orange,apple,grape,apple
libro,pen,pencil,book,notebook,book
sol,moon,sun,star,cloud,sun
agua,air,fire,water,earth,water
rojo,blue,green,red,yellow,red
puerta,window,door,wall,floor,door
silla,table,chair,sofa,bed,chair
mesa,table,chair,sofa,bed,table
zapato,hat,sock,shoe,glove,shoe
naranja,banana,orange,apple,grape,orange
flor,tree,flower,grass,bush,flower
plátano,banana,orange,apple,grape,banana
luz,light,shadow,sun,moon,light
noche,day,noon,night,evening,night
piedra,rock,stone,sand,pebble,stone
tierra,sky,water,earth,fire,earth
viento,rain,snow,wind,storm,wind
hombre,woman,child,man,elderly man,man
mujer,man,woman,child,elderly woman,woman
niño,adult,teenager,child,baby,child
amigo,enemy,stranger,friend,companion,friend
familia,stranger,neighbor,family,friend,family
ciudad,town,country,city,village,city
fruta,vegetable,meat,fruit,dessert,fruit
mes,year,day,month,week,month
día,night,noon,day,morning,day
tiempo,space,time,weather,season,time
semana,day,month,week,year,week
meses,days,weeks,months,years,months
año,month,week,year,decade,year
joven,old,young,teenager,adult,young
viejo,adult,young,teenager,old,old
bien,maybe,no,yes,well,well
mal,good,okay,bad,worse,bad
grande,small,medium,big,huge,big
pequeño,small,medium,big,huge,small
rápido,slow,medium,fast,very fast,fast
lento,fast,medium,slow,very slow,slow
alto,short,average,tall,very tall,tall
bajo,tall,average,short,very short,short
rico,poor,average,rich,wealthy,rich
pobre,rich,average,poor,destitute,poor
feliz,sad,neutral,happy,joyful,happy
triste,happy,neutral,sad,miserable,sad
enfermo,healthy,sick,unwell,ill,ill
sano,ill,unwell,sick,healthy,healthy
