word,option1,option2,option3,option4,answer
Katze,cat,dog,elephant,rabbit,cat
Haus,house,tree,river,car,house
gelb,blue,green,yellow,red,yellow
Schule,beach,library,park,school,school
Apfel,banana,orange,apple,grape,apple
Buch,pen,pencil,book,notebook,book
Sonne,moon,sun,star,cloud,sun
Wasser,air,fire,water,earth,water
rot,blue,green,red,yellow,red
Tür,window,door,wall,floor,door
Stuhl,table,chair,sofa,bed,chair
Tisch,table,chair,sofa,bed,table
Schuh,hat,sock,shoe,glove,shoe
Orange,banana,orange,apple,grape,orange
Blume,tree,flower,grass,bush,flower
Banane,banana,orange,apple,grape,banana
Licht,light,shadow,sun,moon,light
Nacht,day,noon,night,evening,night
Stein,rock,stone,sand,pebble,stone
Erde,sky,water,earth,fire,earth
Wind,rain,snow,wind,storm,wind
Mann,woman,child,man,elderly man,man
Frau,man,woman,child,elderly woman,woman
Kind,adult,teenager,child,baby,child
Freund,enemy,stranger,friend,companion,friend
Familie,stranger,neighbor,family,friend,family
Stadt,town,country,city,village,city
Obst,vegetable,meat,fruit,dessert,fruit
Monat,year,day,month,week,month
Tag,night,noon,day,morning,day
Zeit,space,time,weather,season,time
Woche,day,month,week,year,week
Monate,days,weeks,months,years,months
Jahr,month,week,year,decade,year
jung,old,young,teenager,adult,young
alt,adult,young,teenager,old,old
gut,maybe,no,yes,well,well
schlecht,good,okay,bad,worse,bad
groß,small,medium,big,huge,big
klein,small,medium,big,huge,small
schnell,slow,medium,fast,very fast,fast
langsam,fast,medium,slow,very slow,slow
hoch,short,average,tall,very tall,tall
niedrig,tall,average,short,very short,short
reich,poor,average,rich,wealthy,rich
arm,rich,average,poor,destitute,poor
glücklich,sad,neutral,happy,joyful,happy
traurig,happy,neutral,sad,miserable,sad
krank,healthy,sick,unwell,ill,ill
gesund,ill,unwell,sick,healthy,healthy
